index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
591,Viacheslav Kravtsov,C,2013,2014,,,,https://www.basketball-reference.com/players/k/kravtvi01.html,45,0,6.3,0.9,1.4,.672,0.0,0.0,,0.9,1.4,.672,.672,0.3,1.0,.333,0.7,0.6,1.4,0.2,0.1,0.2,0.4,0.9,2.2,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
592,Vit Krejci,G,2022,2022,,,,https://www.basketball-reference.com/players/k/krejcvi01.html,30,8,23.0,2.3,5.6,.407,1.1,3.3,.327,1.2,2.3,.522,.503,0.6,0.7,.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,2.2,6.2,"2nd round (7th pick, 37th overall)",Washington Wizards,2020 NBA Draft,,,,,,,,,,,,,,,,,,,
593,Arnoldas Kulboka,F,2022,2022,,,,https://www.basketball-reference.com/players/k/kulboar01.html,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"2nd round (25th pick, 55th overall)",Charlotte Hornets,2018 NBA Draft,,,,,,,,,,,,,,,,,,,
594,Jonathan Kuminga,F,2022,2022,,,,https://www.basketball-reference.com/players/k/kuminjo01.html,70,12,16.9,3.4,6.6,.513,0.7,2.1,.336,2.7,4.4,.598,.567,1.9,2.7,.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,2.1,9.3,"1st round (7th pick, 7th overall)",Golden State Warriors,2021 NBA Draft,,,,,,,,,,,,,,,,,,,
595,Rodions Kurucs,F,2019,2021,,,,https://www.basketball-reference.com/players/k/kurucro01.html,131,55,16.1,2.2,5.0,.444,0.7,2.3,.329,1.5,2.8,.537,.517,0.8,1.0,.739,0.7,2.4,3.1,0.9,0.6,0.3,1.0,1.9,6.0,"2nd round (10th pick, 40th overall)",Brooklyn Nets,2018 NBA Draft,,,,,,,,,,,,,,,,,,,
596,Kyle Kuzma,F,2018,2022,Utah,2014-15,2016-17,https://www.basketball-reference.com/players/k/kuzmaky01.html,342,212,30.4,5.9,13.1,.449,1.9,5.5,.339,4.0,7.6,.528,.520,2.0,2.7,.723,1.1,5.1,6.2,2.2,0.6,0.5,1.9,2.1,15.6,"1st round (27th pick, 27th overall)",Brooklyn Nets,2017 NBA Draft,96,21.0,372,735,51,169,171,270,155,5.5,1.5,31,35,151,151,10.1,.506,.302,.633
597,Ognjen Kuzmić,C,2014,2015,,,,https://www.basketball-reference.com/players/k/kuzmiog01.html,37,0,4.4,0.4,0.7,.520,0.0,0.0,,0.4,0.7,.520,.520,0.2,0.4,.600,0.5,0.6,1.0,0.2,0.1,0.1,0.4,0.8,0.9,"2nd round (22nd pick, 52nd overall)",Golden State Warriors,2012 NBA Draft,,,,,,,,,,,,,,,,,,,
598,Mindaugas Kuzminskas,F,2017,2018,,,,https://www.basketball-reference.com/players/k/kuzmimi01.html,69,5,14.8,2.3,5.4,.426,0.8,2.4,.321,1.5,2.9,.512,.499,0.8,1.0,.809,0.7,1.1,1.8,1.0,0.4,0.2,0.7,1.1,6.2,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
599,Zach LaVine,G-F,2015,2022,UCLA,2013-14,,https://www.basketball-reference.com/players/l/lavinza01.html,478,391,31.8,7.1,15.4,.461,2.2,5.6,.386,4.9,9.8,.504,.531,3.5,4.2,.830,0.5,3.5,3.9,3.9,0.9,0.3,2.7,2.2,19.8,"1st round (13th pick, 13th overall)",Minnesota Timberwolves,2014 NBA Draft,37,24.4,127,288,48,128,47,68,18,2.5,1.8,33,6,42,73,9.4,.441,.375,.691
600,Skal Labissière,F,2017,2020,Kentucky,2015-16,,https://www.basketball-reference.com/players/l/labissk01.html,148,42,17.5,2.9,5.9,.492,0.2,0.6,.353,2.7,5.3,.507,.509,1.2,1.6,.748,1.5,3.0,4.5,1.0,0.4,0.7,1.0,2.1,7.2,"1st round (28th pick, 28th overall)",Phoenix Suns,2016 NBA Draft,36,15.8,98,190,0,2,41,62,35,3.1,0.3,9,59,33,108,6.6,.516,.000,.661
601,Oliver Lafayette,G,2010,2010,Houston,2005-06,2008-09,https://www.basketball-reference.com/players/l/lafayol01.html,1,0,22.0,3.0,6.0,.500,1.0,2.0,.500,2.0,4.0,.500,.583,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,Undrafted,Undrafted,Undrafted,133,30.3,625,1516,209,633,309,433,,5.0,1.9,183,12,,,13.3,.412,.330,.714
602,Anthony Lamb,F,2021,2022,University of Vermont,2016-17,2019-20,https://www.basketball-reference.com/players/l/lamban01.html,26,3,16.3,1.8,4.6,.383,0.9,2.8,.315,0.9,1.8,.489,.479,0.7,0.8,.857,1.0,1.7,2.7,1.0,0.2,0.2,0.7,1.3,5.1,Undrafted,Undrafted,Undrafted,118,27.5,685,1440,144,428,419,535,193,6.5,1.7,100,160,248,277,16.4,.476,.336,.783
603,Doron Lamb,G,2013,2014,Kentucky,2010-11,2011-12,https://www.basketball-reference.com/players/l/lambdo01.html,100,0,12.7,1.2,3.2,.381,0.5,1.3,.394,0.7,2.0,.372,.458,0.5,0.7,.700,0.2,0.8,1.0,0.8,0.2,0.0,0.5,1.1,3.5,"2nd round (12th pick, 42nd overall)",Milwaukee Bucks,2012 NBA Draft,78,29.8,336,693,144,303,202,249,34,2.3,1.6,41,8,94,157,13.1,.485,.475,.811
604,Jeremy Lamb,G-F,2013,2022,UConn,2010-11,2011-12,https://www.basketball-reference.com/players/l/lambje01.html,573,136,20.8,3.7,8.4,.439,1.0,3.1,.342,2.7,5.4,.494,.501,1.7,1.9,.857,0.5,3.1,3.6,1.6,0.7,0.4,0.8,1.6,10.1,"1st round (12th pick, 12th overall)",Houston Rockets,2012 NBA Draft,75,32.1,399,828,117,336,145,180,82,4.7,1.7,77,46,120,121,14.1,.482,.348,.806
605,Jock Landale,C,2022,2022,Saint Mary's,2014-15,2017-18,https://www.basketball-reference.com/players/l/landajo01.html,54,1,10.9,1.9,3.8,.495,0.5,1.6,.326,1.3,2.1,.626,.566,0.6,0.8,.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1.0,4.9,Undrafted,Undrafted,Undrafted,126,22.0,652,1044,8,29,346,469,250,6.7,1.2,33,94,204,289,13.2,.625,.276,.738
606,Marcus Landry,F,2010,2010,Wisconsin,2005-06,2008-09,https://www.basketball-reference.com/players/l/landrma01.html,18,0,6.2,0.9,2.4,.372,0.5,1.6,.321,0.4,0.8,.467,.477,0.2,0.3,.600,0.3,0.8,1.1,0.0,0.1,0.1,0.3,0.8,2.4,Undrafted,Undrafted,Undrafted,121,,429,876,65,180,191,285,,4.2,1.2,68,99,119,,9.2,.490,.361,.670
607,Romeo Langford,G,2020,2022,Indiana,2018-19,,https://www.basketball-reference.com/players/l/langfro01.html,98,11,14.5,1.3,3.4,.400,0.4,1.3,.300,0.9,2.0,.465,.459,0.5,0.8,.633,0.6,1.3,1.9,0.5,0.4,0.3,0.4,1.1,3.6,"1st round (14th pick, 14th overall)",Boston Celtics,2019 NBA Draft,32,34.1,177,395,34,125,140,194,45,5.4,2.3,25,26,68,60,16.5,.448,.272,.722
608,Nicolás Laprovíttola,G,2017,2017,,,,https://www.basketball-reference.com/players/l/laproni01.html,18,3,9.7,1.1,2.6,.426,0.6,1.5,.370,0.6,1.1,.500,.532,0.5,0.5,1.000,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
609,Shane Larkin,G,2014,2018,Miami (FL),2011-12,2012-13,https://www.basketball-reference.com/players/l/larkish01.html,256,41,19.1,2.1,5.0,.422,0.5,1.4,.336,1.7,3.7,.454,.468,0.8,1.0,.777,0.3,1.6,1.9,2.9,0.9,0.1,1.2,1.5,5.5,"1st round (18th pick, 18th overall)",Atlanta Hawks,2013 NBA Draft,68,31.3,256,585,101,269,147,182,35,3.2,3.6,121,6,142,111,11.2,.438,.375,.808
610,Joffrey Lauvergne,C-F,2015,2018,,,,https://www.basketball-reference.com/players/l/lauvejo01.html,208,18,13.6,2.3,4.8,.479,0.2,0.8,.285,2.1,4.0,.520,.504,0.8,1.0,.719,1.1,2.6,3.8,0.9,0.3,0.2,0.8,1.4,5.6,"2nd round (25th pick, 55th overall)",Memphis Grizzlies,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
611,Vic Law,F,2020,2020,Northwestern,2014-15,2018-19,https://www.basketball-reference.com/players/l/lawvi01.html,8,0,7.8,0.8,2.3,.333,0.1,0.9,.143,0.6,1.4,.455,.361,0.3,0.8,.333,0.3,1.1,1.4,0.4,0.3,0.0,0.3,0.8,1.9,Undrafted,Undrafted,Undrafted,125,30.3,481,1198,193,524,287,371,138,5.7,2.0,119,77,215,332,11.5,.402,.368,.774
612,Gani Lawal,F,2011,2011,Georgia Tech,2007-08,2009-10,https://www.basketball-reference.com/players/l/lawalga01.html,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"2nd round (16th pick, 46th overall)",Phoenix Suns,2010 NBA Draft,99,25.8,446,814,0,3,275,498,105,7.2,0.4,59,127,211,76,11.8,.548,.000,.552
613,Ty Lawson,G,2010,2017,UNC,2006-07,2008-09,https://www.basketball-reference.com/players/l/lawsoty01.html,551,344,29.2,4.5,9.8,.460,0.9,2.4,.359,3.7,7.5,.493,.504,2.7,3.6,.770,0.6,2.1,2.7,6.0,1.2,0.1,2.1,1.6,12.7,"1st round (18th pick, 18th overall)",Minnesota Timberwolves,2009 NBA Draft,105,,463,896,112,278,337,432,,2.9,5.8,184,10,136,,13.1,.517,.403,.780
614,Jake Layman,F,2017,2022,Maryland,2012-13,2015-16,https://www.basketball-reference.com/players/l/laymaja01.html,243,49,12.8,1.9,4.1,.460,0.5,1.8,.300,1.3,2.3,.585,.526,0.5,0.7,.719,0.4,1.3,1.7,0.5,0.4,0.3,0.5,1.0,4.8,"2nd round (17th pick, 47th overall)",Orlando Magic,2016 NBA Draft,141,27.9,482,1083,198,547,274,361,159,4.8,1.1,123,113,204,272,10.2,.445,.362,.759
615,Caris LeVert,G-F,2017,2022,Michigan,2012-13,2015-16,https://www.basketball-reference.com/players/l/leverca01.html,318,180,27.6,5.5,12.6,.437,1.4,4.1,.333,4.1,8.4,.488,.492,2.3,3.1,.737,0.7,3.1,3.8,4.0,1.1,0.3,1.9,2.0,14.6,"1st round (20th pick, 20th overall)",Indiana Pacers,2016 NBA Draft,103,26.4,366,843,134,334,204,265,39,3.5,2.7,97,22,136,151,10.4,.434,.401,.770
616,T.J. Leaf,F,2018,2021,UCLA,2016-17,,https://www.basketball-reference.com/players/l/leaftj01.html,146,2,8.5,1.4,2.8,.492,0.2,0.6,.341,1.2,2.2,.534,.529,0.3,0.4,.585,0.7,1.3,1.9,0.3,0.2,0.2,0.2,0.7,3.3,"1st round (18th pick, 18th overall)",Indiana Pacers,2017 NBA Draft,35,29.9,235,381,27,58,72,106,78,8.2,2.4,22,39,52,89,16.3,.617,.466,.679
617,Jalen Lecque,G,2020,2021,,,,https://www.basketball-reference.com/players/l/lecquja01.html,9,0,4.9,0.6,2.1,.263,0.0,0.6,.000,0.6,1.6,.357,.263,0.6,0.6,1.000,0.2,0.6,0.8,0.4,0.0,0.0,0.2,0.3,1.7,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
618,Ricky Ledo,G,2014,2015,,,,https://www.basketball-reference.com/players/l/ledori01.html,28,0,9.9,1.4,4.0,.336,0.5,1.3,.371,0.9,2.8,.321,.394,0.7,0.9,.769,0.6,0.8,1.4,0.8,0.3,0.0,1.0,0.8,3.9,"2nd round (13th pick, 43rd overall)",Milwaukee Bucks,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
619,Damion Lee,G,2018,2022,"Drexel, Louisville",2011-12,2015-16,https://www.basketball-reference.com/players/l/leeda03.html,216,53,21.0,2.9,6.7,.434,1.2,3.5,.357,1.7,3.2,.516,.526,1.2,1.4,.868,0.5,3.0,3.5,1.4,0.7,0.1,0.7,1.6,8.2,Undrafted,Undrafted,Undrafted,125,32.8,636,1468,257,710,487,578,112,4.8,2.0,142,26,217,298,16.1,.433,.362,.843
620,Malcolm Lee,G,2012,2015,UCLA,2008-09,2010-11,https://www.basketball-reference.com/players/l/leema01.html,36,12,14.8,1.4,3.8,.382,0.3,0.9,.294,1.2,2.8,.412,.419,0.7,1.0,.703,0.7,1.1,1.8,1.4,0.6,0.3,0.8,1.4,3.9,"2nd round (13th pick, 43rd overall)",Chicago Bulls,2011 NBA Draft,94,33.9,312,707,71,255,218,304,63,3.0,2.0,72,20,161,154,9.7,.441,.278,.717
621,Saben Lee,G,2021,2022,Vanderbilt,2017-18,2019-20,https://www.basketball-reference.com/players/l/leesa01.html,85,7,16.3,2.0,4.6,.434,0.3,1.0,.265,1.7,3.6,.480,.463,1.4,1.9,.731,0.4,1.7,2.2,3.3,0.8,0.3,1.1,1.4,5.6,"2nd round (8th pick, 38th overall)",Utah Jazz,2020 NBA Draft,96,30.7,440,935,87,265,371,517,54,3.3,3.7,121,19,258,197,13.9,.471,.328,.718
622,Walt Lemon Jr.,G,2018,2019,Bradley,2012-13,2013-14,https://www.basketball-reference.com/players/l/lemonwa01.html,11,3,18.4,4.1,9.4,.437,0.3,0.5,.500,3.8,8.8,.433,.451,0.9,1.3,.714,0.4,2.3,2.6,3.2,1.0,0.2,1.3,1.7,9.4,Undrafted,Undrafted,Undrafted,67,34.9,411,941,64,206,234,311,27,3.7,3.8,153,17,244,175,16.7,.437,.311,.752
623,Alex Len,C,2014,2022,Maryland,2011-12,2012-13,https://www.basketball-reference.com/players/l/lenal01.html,570,235,18.9,3.0,5.8,.507,0.2,0.6,.329,2.8,5.2,.527,.524,1.6,2.3,.683,1.9,4.0,5.9,0.9,0.4,1.0,1.2,2.6,7.7,"1st round (5th pick, 5th overall)",Phoenix Suns,2013 NBA Draft,60,24.5,225,418,1,9,132,199,145,7.0,0.8,12,125,93,155,9.7,.538,.111,.663
624,Kawhi Leonard,F,2012,2021,San Diego State,2009-10,2010-11,https://www.basketball-reference.com/players/l/leonaka01.html,576,549,31.3,6.9,14.0,.493,1.5,3.9,.384,5.4,10.1,.535,.547,3.9,4.5,.858,1.2,5.2,6.4,2.9,1.8,0.6,1.6,1.7,19.2,"1st round (15th pick, 15th overall)",Indiana Pacers,2011 NBA Draft,70,31.9,377,840,41,164,195,262,230,10.2,2.2,98,45,153,174,14.1,.449,.250,.744
625,Meyers Leonard,C-F,2013,2021,Illinois,2010-11,2011-12,https://www.basketball-reference.com/players/l/leoname01.html,447,93,16.0,2.1,4.4,.482,0.7,1.9,.390,1.4,2.6,.549,.564,0.6,0.7,.809,0.7,3.2,3.9,0.9,0.2,0.3,0.7,2.2,5.6,"1st round (11th pick, 11th overall)",Portland Trail Blazers,2012 NBA Draft,65,19.8,198,349,1,12,105,144,83,4.7,0.7,20,73,94,144,7.7,.567,.083,.729
626,Travis Leslie,G,2012,2012,Georgia,2008-09,2010-11,https://www.basketball-reference.com/players/l/leslitr01.html,10,0,4.5,0.5,1.4,.357,0.0,0.0,,0.5,1.4,.357,.357,0.4,0.9,.444,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4,"2nd round (17th pick, 47th overall)",Los Angeles Clippers,2011 NBA Draft,90,30.8,417,866,19,57,246,331,202,6.1,2.1,101,63,180,128,12.2,.482,.333,.743
627,Jon Leuer,F,2012,2019,Wisconsin,2007-08,2010-11,https://www.basketball-reference.com/players/l/leuerjo01.html,377,80,15.8,2.6,5.4,.484,0.3,1.0,.328,2.3,4.4,.520,.515,0.8,1.1,.767,0.9,2.8,3.8,0.8,0.4,0.3,0.7,1.5,6.4,"2nd round (10th pick, 40th overall)",Milwaukee Bucks,2011 NBA Draft,123,31.6,518,1074,100,272,240,332,92,4.5,1.1,51,85,142,125,11.2,.482,.368,.723
628,Kira Lewis Jr.,G,2021,2022,Alabama,2018-19,2019-20,https://www.basketball-reference.com/players/l/lewiski01.html,78,0,16.0,2.4,6.2,.391,0.7,2.3,.298,1.7,3.9,.446,.446,0.7,0.8,.841,0.3,1.1,1.4,2.2,0.6,0.1,0.8,1.3,6.2,"1st round (13th pick, 13th overall)",New Orleans Pelicans,2020 NBA Draft,65,34.5,363,812,110,304,195,246,39,3.6,4.0,84,28,184,142,15.9,.447,.362,.793
629,Scottie Lewis,G,2022,2022,Florida,2019-20,2020-21,https://www.basketball-reference.com/players/l/lewissc01.html,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,"2nd round (26th pick, 56th overall)",Charlotte Hornets,2021 NBA Draft,51,27.6,140,316,36,105,104,137,47,3.4,1.1,69,58,73,119,8.2,.443,.343,.759
630,DeAndre Liggins,G,2012,2018,Kentucky,2008-09,2010-11,https://www.basketball-reference.com/players/l/liggide01.html,177,24,10.8,0.7,1.8,.402,0.2,0.7,.352,0.5,1.1,.432,.469,0.3,0.5,.549,0.3,1.2,1.4,0.7,0.6,0.2,0.5,1.1,2.0,"2nd round (23rd pick, 53rd overall)",Orlando Magic,2011 NBA Draft,100,24.6,194,477,62,187,126,196,40,3.0,2.1,90,50,147,136,5.8,.407,.332,.643
631,Damian Lillard,G,2013,2022,Weber State,2008-09,2011-12,https://www.basketball-reference.com/players/l/lillada01.html,711,711,36.3,8.1,18.4,.437,3.0,8.1,.373,5.0,10.3,.488,.519,5.5,6.2,.893,0.6,3.6,4.2,6.6,1.0,0.3,2.8,1.9,24.6,"1st round (6th pick, 6th overall)",Portland Trail Blazers,2012 NBA Draft,104,33.6,584,1310,246,630,520,600,34,4.3,3.5,129,19,246,143,18.6,.446,.390,.867
632,Jeremy Lin,G,2011,2019,Harvard University,2006-07,2009-10,https://www.basketball-reference.com/players/l/linje01.html,480,221,25.5,3.9,9.1,.433,0.9,2.7,.342,3.0,6.3,.473,.485,2.8,3.5,.809,0.4,2.4,2.8,4.3,1.1,0.4,2.3,2.2,11.6,Undrafted,Undrafted,Undrafted,115,32.2,506,1052,108,324,363,495,24,4.3,3.5,225,70,280,85,12.9,.481,.333,.733
633,Nassir Little,F,2020,2022,UNC,2018-19,,https://www.basketball-reference.com/players/l/littlna01.html,138,30,16.7,2.1,4.6,.455,0.7,2.1,.317,1.4,2.5,.574,.528,1.0,1.3,.727,0.9,2.5,3.4,0.7,0.3,0.5,0.5,1.5,5.8,"1st round (25th pick, 25th overall)",Portland Trail Blazers,2019 NBA Draft,36,18.2,131,274,14,52,77,100,57,4.6,0.7,19,19,48,59,9.8,.478,.269,.770
634,Isaiah Livers,F,2022,2022,Michigan,2017-18,2020-21,https://www.basketball-reference.com/players/l/liveris01.html,19,5,20.2,2.2,4.7,.456,1.4,3.4,.422,0.7,1.4,.538,.606,0.6,0.7,.857,0.8,2.2,3.0,1.1,0.7,0.4,0.8,1.9,6.4,"2nd round (12th pick, 42nd overall)",Detroit Pistons,2021 NBA Draft,119,23.4,346,744,164,398,131,153,104,3.8,0.9,58,62,90,190,8.3,.465,.412,.856
635,Zach Lofton,G,2019,2019,"Illinois State, Texas Southern, New Mexico State",2013-14,2017-18,https://www.basketball-reference.com/players/l/loftoza01.html,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Undrafted,Undrafted,Undrafted,99,29.4,511,1238,170,528,407,524,87,4.0,1.9,113,16,198,212,16.2,.413,.322,.777
636,Shawn Long,C-F,2017,2017,Louisiana,2012-13,2015-16,https://www.basketball-reference.com/players/l/longsh01.html,18,0,13.0,3.4,6.1,.560,0.4,1.1,.368,3.0,5.0,.600,.592,1.1,1.9,.543,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,Undrafted,Undrafted,Undrafted,135,29.8,871,1732,112,328,488,722,463,10.7,1.1,96,273,328,415,17.3,.503,.341,.676
637,Kevon Looney,F-C,2016,2022,UCLA,2014-15,,https://www.basketball-reference.com/players/l/looneke01.html,367,150,16.4,2.0,3.5,.567,0.0,0.2,.172,2.0,3.4,.586,.571,0.7,1.1,.606,1.8,2.9,4.8,1.4,0.5,0.6,0.6,2.1,4.7,"1st round (30th pick, 30th overall)",Golden State Warriors,2015 NBA Draft,36,30.9,151,321,22,53,92,147,122,9.2,1.4,46,32,45,104,11.6,.470,.415,.626
638,Didi Louzada,G,2021,2022,,,,https://www.basketball-reference.com/players/l/louzama01.html,12,1,15.4,1.3,3.8,.326,0.9,2.6,.355,0.3,1.3,.267,.446,0.2,0.2,1.000,0.5,1.2,1.7,0.7,0.3,0.2,0.7,1.5,3.6,"2nd round (5th pick, 35th overall)",Atlanta Hawks,2019 NBA Draft,,,,,,,,,,,,,,,,,,,
639,Jordan Loyd,G,2019,2019,"Furman University, University of Indianapolis",2012-13,,https://www.basketball-reference.com/players/l/loydjo01.html,12,0,4.6,0.7,1.5,.444,0.3,0.7,.500,0.3,0.8,.400,.556,0.8,0.9,.818,0.1,0.7,0.8,0.5,0.0,0.0,0.2,0.4,2.4,Undrafted,Undrafted,Undrafted,1,23.0,1,4,0,1,2,5,0,5.0,4.0,0,0,0,1,4.0,.250,.000,.400
640,Kalin Lucas,G,2015,2019,Michigan State,2007-08,2010-11,https://www.basketball-reference.com/players/l/lucaska01.html,2,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,1.5,1.5,0.5,0.5,0.0,0.0,1.0,1.0,Undrafted,Undrafted,Undrafted,141,32.3,670,1575,149,395,507,637,38,1.9,4.0,144,11,324,121,14.2,.425,.377,.796
641,Gabriel Lundberg,G,2022,2022,,,,https://www.basketball-reference.com/players/l/lundbga01.html,4,0,11.0,1.3,4.8,.263,0.8,2.0,.375,0.5,2.8,.182,.342,0.0,0.0,,0.5,1.3,1.8,2.8,0.8,0.0,0.8,1.8,3.3,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
642,Timothé Luwawu-Cabarrot,F,2017,2022,,,,https://www.basketball-reference.com/players/l/luwawti01.html,328,60,16.0,2.0,5.1,.391,1.0,2.9,.335,1.0,2.1,.468,.488,1.0,1.2,.829,0.4,1.6,2.0,0.9,0.4,0.1,0.7,1.8,5.9,"1st round (24th pick, 24th overall)",Philadelphia 76ers,2016 NBA Draft,,,,,,,,,,,,,,,,,,,
643,Tyler Lydon,F,2018,2019,Syracuse,2015-16,2016-17,https://www.basketball-reference.com/players/l/lydonty01.html,26,0,3.7,0.3,0.7,.500,0.2,0.4,.400,0.2,0.3,.625,.611,0.0,0.1,.333,0.3,0.4,0.7,0.2,0.1,0.0,0.2,0.4,0.9,"1st round (24th pick, 24th overall)",Utah Jazz,2017 NBA Draft,71,33.1,278,584,98,245,169,209,145,7.4,1.6,77,116,106,184,11.6,.476,.400,.809
644,Trey Lyles,F,2016,2022,Kentucky,2014-15,,https://www.basketball-reference.com/players/l/lylestr01.html,449,126,18.3,2.9,6.5,.441,0.9,2.6,.338,2.0,3.9,.510,.508,1.2,1.6,.737,0.8,3.5,4.3,1.1,0.4,0.3,0.8,1.4,7.8,"1st round (12th pick, 12th overall)",Utah Jazz,2015 NBA Draft,36,23.0,117,240,4,29,75,102,65,5.2,1.1,19,16,41,57,8.7,.488,.138,.735
645,Sheldon Mac,G,2017,2017,Miami (FL),2011-12,2015-16,https://www.basketball-reference.com/players/m/mcclesh01.html,30,3,9.6,1.0,2.5,.400,0.2,1.0,.233,0.8,1.5,.511,.447,0.8,0.9,.852,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.6,3.0,Undrafted,Undrafted,Undrafted,141,30.0,634,1392,178,523,517,632,126,3.8,1.3,133,22,180,183,13.9,.455,.340,.818
646,Scott Machado,G,2013,2019,Iona College,2008-09,2011-12,https://www.basketball-reference.com/players/m/machasc01.html,10,0,4.0,0.7,1.2,.583,0.1,0.2,.500,0.6,1.0,.600,.625,0.3,0.3,1.000,0.0,0.1,0.1,0.9,0.3,0.0,0.8,0.2,1.8,Undrafted,Undrafted,Undrafted,132,32.7,529,1232,123,360,432,584,80,3.9,6.7,191,17,440,244,12.2,.429,.342,.740
647,Shelvin Mack,G,2012,2019,Butler,2008-09,2010-11,https://www.basketball-reference.com/players/m/macksh01.html,456,56,18.4,2.6,6.0,.423,0.7,2.0,.330,1.9,4.0,.470,.478,0.8,1.1,.731,0.3,1.7,2.0,3.1,0.7,0.1,1.2,1.2,6.6,"2nd round (4th pick, 34th overall)",Washington Wizards,2011 NBA Draft,108,31.5,515,1228,216,605,281,372,47,4.2,3.3,118,9,239,137,14.1,.419,.357,.755
648,Vernon Macklin,F,2012,2012,"Georgetown, Florida",2006-07,2010-11,https://www.basketball-reference.com/players/m/macklve01.html,23,0,5.9,0.8,1.5,.543,0.0,0.0,,0.8,1.5,.543,.543,0.3,0.6,.571,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2.0,"2nd round (22nd pick, 52nd overall)",Detroit Pistons,2011 NBA Draft,136,24.8,439,720,0,1,115,253,173,3.7,0.7,42,83,135,172,7.3,.610,.000,.455
649,Daryl Macon,G,2019,2020,Arkansas,2016-17,2017-18,https://www.basketball-reference.com/players/m/maconda01.html,12,0,8.7,0.9,2.5,.367,0.5,1.1,.462,0.4,1.4,.294,.467,0.3,0.6,.571,0.2,0.8,1.0,0.7,0.1,0.0,0.7,0.8,2.7,Undrafted,Undrafted,Undrafted,71,28.0,315,700,150,370,290,333,32,2.8,3.1,77,4,128,127,15.1,.450,.405,.871
650,J.P. Macura,G,2019,2020,Xavier,2014-15,2017-18,https://www.basketball-reference.com/players/m/macurjp01.html,3,0,6.0,1.0,3.0,.333,0.0,1.3,.000,1.0,1.7,.600,.333,0.0,0.0,,0.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,2.0,Undrafted,Undrafted,Undrafted,141,25.0,495,1105,182,517,319,400,158,3.2,2.1,166,25,213,297,10.6,.448,.352,.798
651,Josh Magette,G,2018,2020,Alabama-Huntsville,,,https://www.basketball-reference.com/players/m/magetjo01.html,26,0,9.8,0.8,2.3,.328,0.3,1.0,.346,0.4,1.3,.314,.402,0.3,0.4,.900,0.1,0.8,1.0,2.4,0.4,0.1,0.5,0.8,2.2,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
652,Will Magnay,C,2021,2021,Tulsa,2016-17,,https://www.basketball-reference.com/players/m/magnawi01.html,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Undrafted,Undrafted,Undrafted,32,14.0,48,83,0,1,28,49,33,3.0,0.3,2,29,33,62,3.9,.578,.000,.571
