index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
356,Luka Garza,F-C,2022,2022,Iowa,2017-18,2020-21,https://www.basketball-reference.com/players/g/garzalu01.html,32,5,12.2,2.1,4.6,.449,0.5,1.5,.327,1.6,3.1,.510,.503,1.2,1.9,.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8,"2nd round (22nd pick, 52nd overall)",Detroit Pistons,2021 NBA Draft,127,27.1,870,1594,120,327,446,636,342,7.3,1.2,68,154,181,302,18.2,.546,.367,.701
357,Michael Gbinije,G,2017,2017,"Duke, Syracuse",2011-12,2015-16,https://www.basketball-reference.com/players/g/gbinimi01.html,9,0,3.6,0.1,1.1,.100,0.0,0.4,.000,0.1,0.7,.167,.100,0.2,0.2,1.000,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.4,"2nd round (19th pick, 49th overall)",Detroit Pistons,2016 NBA Draft,120,25.5,409,900,159,411,200,313,101,3.1,2.6,154,31,194,257,9.8,.454,.387,.639
358,Alonzo Gee,G,2010,2017,Alabama,2005-06,2008-09,https://www.basketball-reference.com/players/g/geeal01.html,417,213,21.8,2.4,5.5,.434,0.4,1.4,.325,2.0,4.2,.469,.474,1.4,1.8,.754,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6,Undrafted,Undrafted,Undrafted,128,,596,1333,115,354,323,511,,5.7,1.3,149,56,136,,12.7,.447,.325,.632
359,Paul George,F,2011,2022,Fresno State,2008-09,2009-10,https://www.basketball-reference.com/players/g/georgpa01.html,737,689,33.6,6.9,15.9,.435,2.5,6.6,.382,4.4,9.4,.473,.514,4.0,4.7,.848,0.9,5.6,6.4,3.6,1.7,0.4,2.7,2.7,20.4,"1st round (10th pick, 10th overall)",Indiana Pacers,2010 NBA Draft,63,33.2,320,716,122,308,212,264,55,6.7,2.4,123,58,173,84,15.5,.447,.396,.803
360,Marcus Georges-Hunt,G,2017,2018,Georgia Tech,2012-13,2015-16,https://www.basketball-reference.com/players/g/georgma01.html,47,0,5.8,0.5,1.2,.418,0.1,0.4,.294,0.4,0.8,.474,.464,0.5,0.7,.710,0.2,0.4,0.5,0.2,0.1,0.0,0.1,0.8,1.6,Undrafted,Undrafted,Undrafted,130,30.9,569,1314,122,371,468,625,200,4.5,2.2,121,28,220,307,13.3,.433,.329,.749
361,Jonathan Gibson,G,2017,2018,New Mexico State,2009-10,,https://www.basketball-reference.com/players/g/gibsojo01.html,21,0,12.9,2.3,5.6,.415,1.0,2.7,.368,1.3,2.9,.459,.504,1.0,1.4,.724,0.0,1.1,1.2,1.4,0.4,0.0,1.1,1.2,6.7,Undrafted,Undrafted,Undrafted,34,32.6,197,441,106,261,95,112,17,2.9,2.8,47,2,73,69,17.5,.447,.406,.848
362,Taj Gibson,F,2010,2022,USC,2006-07,2008-09,https://www.basketball-reference.com/players/g/gibsota01.html,896,447,24.5,3.7,7.2,.518,0.0,0.2,.257,3.7,7.0,.525,.521,1.5,2.1,.713,2.3,3.8,6.1,1.0,0.6,1.0,1.1,2.5,9.0,"1st round (26th pick, 26th overall)",Chicago Bulls,2009 NBA Draft,105,,502,866,0,0,303,482,,8.5,1.4,77,253,153,,12.4,.580,,.629
363,Josh Giddey,G,2022,2022,,,,https://www.basketball-reference.com/players/g/giddejo01.html,54,54,31.5,5.2,12.4,.419,1.0,3.9,.263,4.2,8.5,.492,.461,1.0,1.5,.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,1.6,12.5,"1st round (6th pick, 6th overall)",Oklahoma City Thunder,2021 NBA Draft,,,,,,,,,,,,,,,,,,,
364,Trey Gilder,F,2010,2010,"McNeese State University, Northwestern State University",2003-04,2007-08,https://www.basketball-reference.com/players/g/gildetr01.html,2,0,2.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,Undrafted,Undrafted,Undrafted,62,,301,606,25,95,246,314,,4.7,1.5,76,38,89,,14.1,.497,.263,.783
365,Harry Giles,F-C,2019,2021,Duke,2016-17,,https://www.basketball-reference.com/players/g/gilesha01.html,142,17,12.9,2.5,4.9,.511,0.1,0.2,.258,2.5,4.7,.523,.517,0.8,1.2,.671,1.0,2.8,3.8,1.2,0.4,0.4,1.0,2.3,5.9,"1st round (20th pick, 20th overall)",Portland Trail Blazers,2017 NBA Draft,26,11.5,45,78,0,0,12,24,41,3.8,0.3,9,17,18,58,3.9,.577,,.500
366,Shai Gilgeous-Alexander,G,2019,2022,Kentucky,2017-18,,https://www.basketball-reference.com/players/g/gilgesh01.html,243,234,31.8,6.5,13.8,.473,1.2,3.5,.348,5.3,10.3,.516,.517,3.9,4.9,.807,0.7,3.8,4.5,4.3,1.1,0.7,2.2,2.1,18.2,"1st round (11th pick, 11th overall)",Charlotte Hornets,2018 NBA Draft,37,33.7,183,377,23,57,143,175,33,4.1,5.1,61,18,100,62,14.4,.485,.404,.817
367,Anthony Gill,F,2021,2022,"South Carolina, Virginia",2014-15,2015-16,https://www.basketball-reference.com/players/g/gillan01.html,70,4,9.7,1.3,2.4,.544,0.3,0.7,.420,1.0,1.7,.597,.607,0.8,1.0,.809,0.7,1.2,1.9,0.5,0.2,0.2,0.4,1.2,3.7,Undrafted,Undrafted,Undrafted,71,26.7,331,570,2,3,240,337,182,6.3,0.8,53,37,81,159,12.7,.581,.667,.712
368,Freddie Gillespie,F,2021,2022,"Carleton College, Baylor",2018-19,2019-20,https://www.basketball-reference.com/players/g/gillefr01.html,29,4,17.6,1.8,3.7,.500,0.0,0.0,.000,1.8,3.6,.505,.500,0.9,1.4,.650,1.9,2.7,4.6,0.5,0.6,1.0,0.6,2.1,4.6,Undrafted,Undrafted,Undrafted,56,23.7,171,294,0,0,82,127,179,6.9,0.4,51,94,52,155,7.6,.582,,.646
